Client,Risk Tolerance,Financial Goals,Time Period,Investment Horizon,Preferred Services,Investment Experience,ROI,Risk Aversion,Customer Service,Security,Flexibility
Client 1,High,Insurance,26,Short,"Stocks, Ariel, Recon, Mutual Fund",High,Medium,High,Good,High,Low
Client 2,Medium,Insurance,20,Long,"Recon, Insurance",Low,Medium,Medium,Good,Low,Medium
Client 3,High,Investment,57,Long,DNAV,High,Low,Low,Good,Low,Medium
Client 4,High,Stocks,59,Medium,"Ariel, Retirement, Stocks, Insurance",Medium,Low,High,Good,Low,Low
Client 5,Low,Insurance,67,Short,Stocks,High,Medium,Low,Excellent,Low,Medium
Client 6,Medium,Investment,1,Long,Retirement,Medium,Low,High,Excellent,High,Low
Client 7,High,Investment,1,Short,"Stocks, Insurance, Retirement, Mutual Fund, Ariel, Recon, MLOps, DNAV",Medium,Medium,Low,Excellent,Low,Medium
Client 8,High,Stocks,28,Long,"Insurance, Stocks, Retirement",Medium,Low,High,Good,Medium,Low
Client 9,Medium,Insurance,39,Short,"DNAV, Mutual Fund, Retirement, Insurance, Ariel, Recon, MLOps",Low,Medium,Low,Excellent,Medium,Low
Client 10,Low,Stocks,46,Medium,MLOps,Medium,Medium,Low,Good,Medium,High
Client 11,High,Insurance,74,Short,"Stocks, Ariel, Retirement",High,Low,Medium,Poor,Medium,High
Client 12,Low,Stocks,63,Medium,"DNAV, Mutual Fund, MLOps",Low,High,High,Good,Medium,Medium
Client 13,Medium,Insurance,21,Short,"MLOps, Stocks, DNAV",Medium,Low,Low,Good,High,Medium
Client 14,Medium,Stocks,6,Short,"DNAV, Stocks",Medium,Medium,Medium,Excellent,Low,Medium
Client 15,Medium,Investment,37,Long,"Stocks, MLOps, Ariel, Mutual Fund, Insurance",Low,High,High,Excellent,Medium,Low
Client 16,Medium,Stocks,32,Medium,"Recon, Retirement, MLOps",High,Low,Medium,Excellent,High,Low
Client 17,High,Stocks,79,Long,"Recon, Stocks, MLOps, Mutual Fund, Retirement, Insurance",Low,Medium,Medium,Good,Medium,Low
Client 18,Medium,Stocks,34,Long,"Insurance, Retirement, DNAV, Stocks, Mutual Fund, Recon",High,Medium,Low,Excellent,Low,High
